"id","file_name","file_hash","status","error_message","process_time_ms","created_at"
1,"2021110072.pdf","2deeae63bab24c06c82d7c155ec5c7d9",processing,,0,"2025-11-11 15:49:05"
2,"2021110072.pdf","2deeae63bab24c06c82d7c155ec5c7d9",success,,50231,"2025-11-11 15:49:55"
3,"2021120087.pdf","67e80f0841ff40fb0893f3607a7cfc94",processing,,0,"2025-11-11 15:49:55"
4,"2021120087.pdf","67e80f0841ff40fb0893f3607a7cfc94",success,,40296,"2025-11-11 15:50:35"
5,"2022030020.pdf",b83d1340bc32d9d67a18ce508341def8,processing,,0,"2025-11-11 15:50:35"
6,"2022030020.pdf",b83d1340bc32d9d67a18ce508341def8,success,,33597,"2025-11-11 15:51:09"
7,"2022050031.pdf","31d782b8e38debc3e7b4b42469bdd9d2",processing,,0,"2025-11-11 15:51:29"
8,"2022050031.pdf","31d782b8e38debc3e7b4b42469bdd9d2",success,,43049,"2025-11-11 15:52:12"
9,"2022070038.pdf","657fcfd721bfc8b6b2aae67b51612cf7",processing,,0,"2025-11-11 15:52:12"
10,"2022070038.pdf","657fcfd721bfc8b6b2aae67b51612cf7",success,,92936,"2025-11-11 15:53:45"
11,"2022070043.pdf",e49d4da7e3c2c32b47058611e98e36a1,processing,,0,"2025-11-11 15:53:45"
12,"2022070043.pdf",e49d4da7e3c2c32b47058611e98e36a1,success,,41803,"2025-11-11 15:54:26"
13,"2022080045.pdf","9dc38a3ff2dc5a0a64716aafe326cb35",processing,,0,"2025-11-11 15:54:47"
14,"2022080049.pdf","1ac4c027ace47cf541e00b4c2c65188b",processing,,0,"2025-11-11 15:56:02"
15,"2022080049.pdf","1ac4c027ace47cf541e00b4c2c65188b",success,,33317,"2025-11-11 15:56:36"
16,"2022100059.pdf","0400c7682bf46613f41a8baf072e23ab",processing,,0,"2025-11-11 15:56:36"
17,"2022100059.pdf","0400c7682bf46613f41a8baf072e23ab",success,,60894,"2025-11-11 15:57:36"
18,"2022100062.pdf",cc813b2017db8e6383cccd57684e88ad,processing,,0,"2025-11-11 15:57:37"
19,"2022100062.pdf",cc813b2017db8e6383cccd57684e88ad,success,,60197,"2025-11-11 15:58:37"
20,"2023010005.pdf",d10d55232e81a2f6e2ae7621c2dd2e98,processing,,0,"2025-11-11 15:58:57"
21,"2023010005.pdf",d10d55232e81a2f6e2ae7621c2dd2e98,success,,71166,"2025-11-11 16:00:08"
22,"2023010007.pdf","7e38e6244eaccd6100347790aebe0e1a",processing,,0,"2025-11-11 16:00:08"
